Date,Close/Last,Volume,Open,High,Low
12/01/2021,$158.08,9836412,$156.88,$160.0813,$156.25
11/30/2021,$155.93,14981660,$158.51,$159,$155.85
11/29/2021,$159.75,9188537,$159.5,$160.42,$158.42
11/26/2021,$159.2,8523072,$160.6,$161.16,$158.66
11/24/2021,$160.24,5230887,$160.14,$160.62,$159.38
11/23/2021,$160.69,7735770,$159.52,$161,$158.78
11/22/2021,$159.7,7642322,$161.03,$162.64,$159.65
11/19/2021,$162.89,7628928,$163.04,$163.19,$161.78
11/18/2021,$162.4,6359664,$163.45,$164.47,$162.13
11/17/2021,$163.28,5414474,$162.87,$163.86,$161.79
11/16/2021,$162.67,7594717,$163.18,$164.35,$162.62
11/15/2021,$163.52,7496205,$165,$165.46,$163.2164
11/12/2021,$165.01,18995210,$167.43,$167.62,$164.61
11/11/2021,$163.06,4118791,$163.49,$163.81,$162.4921
11/10/2021,$164.27,6225098,$162.53,$164.84,$162.35
11/09/2021,$162.51,6112777,$162.61,$163.59,$162.02
11/08/2021,$162.87,5579037,$163.68,$164.17,$162.01
11/05/2021,$163.43,6215911,$162.48,$164.6,$162.2
11/04/2021,$164.6,8224377,$164.935,$164.99,$162.67
11/03/2021,$165.06,6717787,$165.04,$165.77,$163.43
11/02/2021,$165.59,8450626,$163.7,$166.9818,$162.98
11/01/2021,$163.02,5846426,$163.16,$163.98,$159.4
10/29/2021,$162.88,8526806,$162.35,$163.25,$160.61
10/28/2021,$162.85,6278844,$163.77,$165.2,$162.32
10/27/2021,$163.74,7018787,$165.68,$165.76,$163.305
10/26/2021,$165.75,6939057,$164.56,$166.03,$164.05
10/25/2021,$164.08,6715399,$163.72,$164.31,$161.71
10/22/2021,$163.72,4304467,$163.06,$164.06,$162.96
10/21/2021,$163.4,4524127,$164.3,$164.39,$162.28
10/20/2021,$163.78,6003177,$163.98,$164.75,$163.26
10/19/2021,$163.87,10081290,$160.9,$165.15,$160.725
10/18/2021,$160.12,7465461,$160.25,$160.89,$159.2
10/15/2021,$161.3,6918407,$161.03,$161.81,$160.41
10/14/2021,$160.11,4580894,$159.71,$161.14,$159.6
10/13/2021,$159.2,6901589,$157.82,$160.08,$157.75
10/12/2021,$157.69,6686443,$160,$160.18,$157.34
10/11/2021,$160.25,4101646,$160.86,$161.855,$159.94
10/08/2021,$160.93,4343438,$161.32,$161.61,$160.25
10/07/2021,$161.34,5309181,$160.02,$162.61,$160.02
10/06/2021,$159.91,7312649,$159.87,$159.95,$157.84
10/05/2021,$159.58,5129033,$159.86,$161.11,$159.15
10/04/2021,$159.22,8621017,$159.99,$161,$157.6737
10/01/2021,$160.47,8568560,$161.53,$161.9,$158.62
09/30/2021,$161.5,6974317,$164.64,$165.4,$161.41
09/29/2021,$164.02,5124102,$163,$164.66,$162.78
09/28/2021,$162.81,7610354,$163.1,$163.91,$161.771
09/27/2021,$163.17,5775461,$164,$164.36,$162.85
09/24/2021,$164.36,4399614,$164.75,$165.65,$163.89
09/23/2021,$164.86,4697939,$164.4,$165.77,$164.15
09/22/2021,$163.93,5657126,$165.35,$165.95,$163.63
09/21/2021,$164.53,6663566,$164.61,$165.98,$164.24
09/20/2021,$163.81,7271017,$163.48,$165.17,$162.165
09/17/2021,$164.75,13422110,$164.3,$164.91,$163.555
09/16/2021,$165.22,5665537,$165.65,$166.46,$164.19
09/15/2021,$165.42,7935279,$165,$165.96,$164.31
09/14/2021,$164.8,5259559,$166.4,$166.54,$164.51
09/13/2021,$165.8,6273506,$167.92,$168.12,$165.13
09/10/2021,$166.97,6699315,$168.55,$169.09,$166.87
09/09/2021,$168.07,7114577,$171.19,$171.48,$167.7
09/08/2021,$171.9,4661733,$171.62,$172.98,$171.08
09/07/2021,$172.32,6859871,$174.35,$175.03,$171.67
09/03/2021,$175.04,4097512,$175.1,$175.22,$173.81
09/02/2021,$174.93,4545449,$174.34,$175.19,$173.91
09/01/2021,$173.74,5327351,$172.9,$173.74,$172.06
08/31/2021,$173.13,7106790,$173.49,$174.49,$172.48
08/30/2021,$173.66,3253006,$172.79,$174.28,$172.78
08/27/2021,$172.93,7046079,$174.28,$174.28,$172.75
08/26/2021,$173.3,5031639,$173.95,$174.72,$173.05
08/25/2021,$174.23,5700289,$175.69,$175.9,$173.892
08/24/2021,$175.39,5734824,$176.99,$177.21,$175.28
08/23/2021,$177.61,6461676,$178.39,$178.93,$177.54
