Date,Close/Last,Volume,Open,High,Low
12/01/2021,54.01,44799680,55.87,56.38,53.98
11/30/2021,54.59,46261970,54.85,55.68,54.32
11/29/2021,55.9,35441220,56.79,57.36,55.72
11/26/2021,55.58,44727230,55.04,55.76,54.14
11/24/2021,57.91,21434320,57.05,58.24,56.9725
11/23/2021,57.35,33863650,56.37,57.54,56.32
11/22/2021,55.64,33897330,54.59,56.48,54.58
11/19/2021,54.67,45689810,55.66,55.81,54.55
11/18/2021,56.89,28955460,57.1,57.545,56.2
11/17/2021,57.23,23669490,57.55,58.38,57.03
11/16/2021,58.12,20479420,58.2,58.59,57.84
11/15/2021,58.03,21375660,57.5,58.365,57.01
11/12/2021,57.55,17094990,57.45,57.78,57.2
11/11/2021,57.69,24498290,57.51,58.08,57.51
11/10/2021,57.47,36016460,58.78,58.97,57.125
11/09/2021,59.03,19688990,58.86,59.045,58.02
11/08/2021,58.79,20011160,58.75,59.4,58.465
11/05/2021,58.26,22603510,58.3,58.52,57.775
11/04/2021,57.51,38181610,58.28,58.43,56.99
11/03/2021,57.43,23337360,57.21,58.03,56.97
11/02/2021,57.91,17062700,58.12,58.57,57.72
11/01/2021,58.46,24828370,58.04,58.62,57.88
10/29/2021,57.47,21998930,58.14,58.27,57.23
10/28/2021,57.85,23367500,57.13,57.895,57.12
10/27/2021,57.44,34003780,58.5,58.82,57.31
10/26/2021,59.14,22751590,59,59.41,58.7796
10/25/2021,58.8,25056090,58.66,59.12,58.35
10/22/2021,57.95,21502530,57.62,57.995,57.075
10/21/2021,57.41,32120880,58.04,58.25,56.9401
10/20/2021,58.49,25106260,57.58,58.5,57.35
10/19/2021,58.02,22276250,57.61,58.22,57.295
10/18/2021,57.37,32628770,57.89,58.21,57.05
10/15/2021,57.33,22677410,57.69,57.91,57.3
10/14/2021,57.05,23396110,57,57.29,56.48
10/13/2021,56.36,28951270,56,56.65,55.37
10/12/2021,56.41,35519130,56.25,56.952,56.021
10/11/2021,56.36,43010750,57.42,57.59,56.305
10/08/2021,56.57,43100210,55.46,56.7,55.33
10/07/2021,54.88,38798080,54.6,55.18,54.33
10/06/2021,54.46,50087430,54.13,54.755,53.5
10/05/2021,55.04,49014810,55.5,56.05,54.465
10/04/2021,54.72,57407890,54.415,55.315,54.165
10/01/2021,53.84,41656010,52.47,53.89,52.47
09/30/2021,52.09,44599420,52.74,53.03,52.09
