Date,Close/Last,Volume,Open,High,Low
12/01/2021,69.95,22902450,70.77,71.3601,69.92
11/30/2021,70.29,23715130,71.69,71.75,70.14
11/29/2021,72.14,13646620,72.04,72.42,71.68
11/26/2021,71.96,11715560,72.39,72.72,71.7
11/24/2021,72.88,9556367,73,73.11,72.5499
11/23/2021,73.1,13405650,72.63,73.22,72.51
11/22/2021,72.62,13425800,72.14,73.12,72.06
11/19/2021,72.05,11924030,72.47,72.49,72.01
11/18/2021,72.31,11270220,72.38,72.48,71.9647
11/17/2021,72.57,10444910,72.66,72.795,72.445
11/16/2021,72.73,6562151,73.14,73.38,72.7
11/15/2021,73.19,6381465,72.97,73.265,72.83
11/12/2021,72.84,7469917,72.99,73.18,72.72
11/11/2021,72.84,6319124,72.94,72.98,72.67
11/10/2021,72.89,11350550,72.74,73.08,72.605
11/09/2021,72.67,13527560,72.44,72.74,72.2
11/08/2021,72.42,12813580,73.03,73.08,72.08
11/05/2021,73,9929095,72.86,73.12,72.72
11/04/2021,72.58,11701780,72.25,72.643,72.06
11/03/2021,72.51,10471140,71.85,72.51,71.8
11/02/2021,71.84,9942655,71.4,72,71.19
11/01/2021,71.36,7033899,71.4,71.52,71.105
10/29/2021,71.25,8105319,71.14,71.53,71.07
10/28/2021,71.32,8614806,71.09,71.35,70.97
10/27/2021,71.07,10335100,71.86,71.91,71.04
10/26/2021,71.49,8805735,71.25,71.67,71.2
10/25/2021,71.24,6844587,71.24,71.395,70.74
10/22/2021,71.29,9575787,70.88,71.4,70.82
10/21/2021,70.74,7976583,70.93,70.9867,70.66
10/20/2021,70.83,8829799,70.49,71.07,70.43
10/19/2021,70.42,10203060,70.27,70.43,69.93
10/18/2021,70.39,10043300,70.5,70.72,70.02
10/15/2021,70.81,11575230,71.22,71.245,70.605
10/14/2021,70.98,9975213,70.45,71.09,70.4
10/13/2021,70.19,9548277,70.13,70.38,69.585
10/12/2021,70.06,12401220,70.09,70.6,69.905
10/11/2021,70.03,8218354,70.16,70.41,69.97
10/08/2021,70.05,7285705,70.18,70.34,69.92
10/07/2021,70.13,8396819,70.17,70.75,70.075
10/06/2021,69.82,14910180,68.79,69.89,68.71
10/05/2021,69.15,16186330,68.97,69.455,68.82
10/04/2021,68.8,20351650,69,69.49,68.32
10/01/2021,69.02,15889230,69.05,69.35,68.37
09/30/2021,68.84,16260420,70.27,70.33,68.81
09/29/2021,70.1,13329570,69.61,70.46,69.46
09/28/2021,69.47,14982980,70.11,70.1901,69.22
09/27/2021,70.3,8467099,70.51,70.84,70.24
09/24/2021,70.62,6717401,70.49,70.93,70.49
09/23/2021,70.59,8440457,70.43,70.91,70.36
09/22/2021,70.33,10026010,70.59,70.77,70.19
09/21/2021,70.13,11140500,70.41,70.97,69.995
09/20/2021,70.21,17880720,70.43,70.84,69.67
09/17/2021,71.36,13149980,71.56,71.82,71.35
09/16/2021,71.75,9789850,71.9,72.12,71.15
09/15/2021,71.99,8824670,71.73,72.115,71.56
09/14/2021,71.73,9145485,72.24,72.29,71.61
09/13/2021,72.06,13798060,72.16,72.68,71.8875
09/10/2021,71.88,10270190,72.33,72.36,71.74
09/09/2021,72.19,7741475,72.54,72.56,72.12
09/08/2021,72.61,10662930,71.9,72.69,71.86
09/07/2021,71.99,9206272,72.71,72.71,71.94
09/03/2021,72.83,6011766,72.7,72.935,72.49
09/02/2021,72.92,6623255,72.79,73.04,72.66
09/01/2021,72.64,8399323,72.32,72.71,72.195
08/31/2021,72.26,8037108,72.16,72.34,71.98
08/30/2021,72.1,5645819,71.8,72.165,71.7299
08/27/2021,71.78,9126224,71.6,71.905,71.365
08/26/2021,71.53,13077960,71.76,71.81,71.29
08/25/2021,71.86,8007585,71.93,72.03,71.61
08/24/2021,71.98,8494246,72.49,72.51,71.88
08/23/2021,72.53,8794517,72.77,72.9,72.5
08/20/2021,72.76,10454480,72.63,73.05,72.36
08/19/2021,72.64,13035570,71.74,72.785,71.7
08/18/2021,72.06,10669390,72.83,72.945,72.01
08/17/2021,72.97,15666040,72.8,73.25,72.63
08/16/2021,72.93,7903158,72.51,72.95,72.38
08/13/2021,72.51,8808600,72,72.58,71.89
08/12/2021,71.91,6432131,71.99,72.04,71.78
08/11/2021,71.95,14992790,71.89,72.24,71.83
08/10/2021,71.71,11291750,71.34,71.74,71.22
08/09/2021,71.2,9055182,71.17,71.32,71.005
08/06/2021,70.94,13492350,71.1,71.23,70.81
08/05/2021,70.94,7063013,70.97,71.09,70.765
08/04/2021,70.6,8886513,71.28,71.46,70.55
08/03/2021,71.53,8647748,71.23,71.66,71.06
08/02/2021,71.21,12050100,71.51,71.58,71.13
07/30/2021,71.51,10403740,71.5,71.88,71.4
07/29/2021,71.39,8811096,71.3,71.5899,71.23
07/28/2021,71.04,9114115,71.5,71.59,70.89
07/27/2021,71.67,14720770,71.5,71.98,71.27
07/26/2021,71.52,5952169,71.29,71.63,71.115
07/23/2021,71.4,9732614,70.57,71.49,70.47
07/22/2021,70.55,9632121,70.49,70.74,70.1
07/21/2021,70.67,9366680,71.18,71.235,70.65
07/20/2021,70.85,20405250,70.82,71.54,70.66
07/19/2021,70.83,20734490,70.8,71.27,70.2
07/16/2021,71.04,8634370,71.05,71.31,70.95
07/15/2021,70.93,8662510,70.53,70.94,70.325
07/14/2021,70.64,7616097,70.11,70.74,70.01
07/13/2021,70.02,12057920,70.02,70.45,69.875
07/12/2021,70.04,7384238,70.03,70.14,69.771
07/09/2021,70.15,6287124,70.02,70.275,69.88
07/08/2021,69.75,9212884,69.68,70.06,69.48
07/07/2021,70.01,7880556,69.62,70.275,69.61
07/06/2021,69.64,7595657,69.77,69.8,69.31
07/02/2021,69.93,20733310,69.92,70.14,69.83
07/01/2021,69.76,11633080,70,70.17,69.65
06/30/2021,69.97,8815138,69.58,70.0592,69.55
06/29/2021,69.43,13155420,69.78,69.9,69.32
06/28/2021,69.74,7570632,69.73,69.93,69.585
06/25/2021,69.68,9241292,69.19,69.76,69.065
06/24/2021,69.15,6343771,68.83,69.23,68.77
06/23/2021,68.81,7072865,69.18,69.19,68.81
06/22/2021,69.24,8351059,69.15,69.53,69.0417
06/21/2021,69.14,14278430,68.76,69.21,68.72
06/18/2021,68.8,16882480,69.56,69.65,68.78
06/17/2021,70.04,9239730,69.8,70.19,69.61
06/16/2021,69.79,10507100,70.75,70.83,69.77
06/15/2021,70.73,5151605,70.96,71.12,70.664
06/14/2021,70.9,10449380,70.88,70.92,70.465
06/11/2021,70.94,6232513,71.04,71.07,70.6
06/10/2021,70.9,8213077,70.59,71.075,70.56
06/09/2021,70.46,8273863,70.67,71.02,70.44
06/08/2021,70.8,8545311,71.42,71.51,70.785
06/07/2021,71.4,7307053,71.53,71.62,71.08
06/04/2021,71.52,6078231,71.48,71.685,71.29
06/03/2021,71.27,9409968,70.62,71.33,70.62
06/02/2021,70.83,6411362,70.67,70.955,70.5
06/01/2021,70.57,8894050,71.08,71.26,70.33
05/28/2021,70.81,8476372,70.77,71.105,70.76
05/27/2021,70.66,12693910,71.22,71.45,70.59
05/26/2021,71.1,10622580,71.29,71.36,70.965
05/25/2021,71.25,8271854,71.28,71.31,70.82
05/24/2021,71.23,6535992,71.11,71.48,70.97
05/21/2021,71.02,7779569,71.19,71.48,70.89
05/20/2021,71.01,11336450,70.37,71.26,70.33
05/19/2021,70.36,13709690,70.25,70.46,69.86
05/18/2021,70.59,11169180,70.89,71.17,70.55
05/17/2021,70.81,10697350,70.95,71.255,70.66
05/14/2021,70.91,9672566,70.87,71.335,70.83
05/13/2021,70.6,18497980,69.61,70.92,69.53
05/12/2021,69.62,13223130,70.4,70.48,69.61
05/11/2021,70.56,14385700,71.21,71.36,70.24
05/10/2021,71.18,10558650,70.94,71.64,70.88
05/07/2021,70.64,9841789,70.53,70.855,70.3597
05/06/2021,70.64,10192050,69.87,70.66,69.87
05/05/2021,69.74,5499736,69.77,69.87,69.45
05/04/2021,69.79,11147280,70,70.2685,69.57
05/03/2021,70.15,12671490,69.73,70.41,69.66
04/30/2021,69.58,10784800,69.52,69.61,69.24
04/29/2021,69.52,9202883,68.76,69.63,68.76
04/28/2021,68.79,7925308,69.02,69.18,68.71
04/27/2021,68.74,10078890,68.75,68.885,68.44
04/26/2021,68.79,8750052,69.53,69.53,68.69
04/23/2021,69.57,9133794,69.61,69.79,69.29
04/22/2021,69.75,10762900,70.15,70.19,69.6
04/21/2021,70.27,10794940,70,70.47,70
04/20/2021,69.92,13168950,69.05,70.14,68.95
04/19/2021,69.54,10867370,69.82,69.96,69.32
04/16/2021,69.81,7810039,69.7,69.95,69.43
04/15/2021,69.41,7714920,69.02,69.52,69.02
04/14/2021,68.86,12087520,68.88,68.96,68.57
04/13/2021,68.92,11982800,68.99,69.18,68.83
04/12/2021,69.29,10117930,69.01,69.3,68.915
04/09/2021,68.92,7020455,69.05,69.205,68.5
04/08/2021,69.04,10244790,68.94,69.18,68.86
04/07/2021,68.97,20763860,69.26,69.35,68.88
04/06/2021,69.14,19302200,68.73,69.4,68.68
04/05/2021,68.85,20093000,68.27,69.22,68.15
04/01/2021,67.98,21191770,68.04,68.33,67.53
03/31/2021,68.31,18241130,68.5,68.78,68.16
03/30/2021,68.53,14042730,69.14,69.21,68.4
03/29/2021,69.27,11857270,68.38,69.335,68.35
03/26/2021,68.58,15098560,67.47,68.62,67.275
03/25/2021,67.39,14763960,66.83,67.47,66.5
03/24/2021,66.74,15831100,66.84,67.17,66.585
03/23/2021,67,13216340,66.71,67.31,66.53
03/22/2021,66.72,14499460,65.91,66.76,65.86
03/19/2021,66.38,20807120,66.22,66.5598,66.06
03/18/2021,66.15,14497550,66.25,66.52,65.83
03/17/2021,66.42,12254150,66.55,66.82,66.195
03/16/2021,66.52,13550250,66.36,66.73,66.36
03/15/2021,66.44,8384558,66.388,66.5,66.04
03/12/2021,66.15,10518240,65.85,66.235,65.795
03/11/2021,65.61,12386460,65.84,66.04,65.54
03/10/2021,65.77,15827670,64.97,66.055,64.76
03/09/2021,64.92,17259570,65.2,65.51,64.87
03/08/2021,64.98,18946970,64.72,65.67,64.61
03/05/2021,64.7,21719460,63.57,64.89,63.325
03/04/2021,63.3,25968680,63.66,64.43,62.99
03/03/2021,63.53,13450880,63.66,64.025,63.49
03/02/2021,63.83,12942750,63.87,64.32,63.8
03/01/2021,63.94,11264330,63.75,64.46,63.73
02/26/2021,63.3,17718480,64.47,64.47,63.28
02/25/2021,64.34,17558540,64.95,65.32,64.202
02/24/2021,65.05,9103992,64.92,65.26,64.73
02/23/2021,65.09,12743370,65.21,65.64,64.86
02/22/2021,65,8649582,64.77,65.17,64.64
02/19/2021,64.94,10246240,65.82,65.83,64.88
02/18/2021,65.77,7465429,65.22,65.9365,65.17
02/17/2021,65.81,8887385,65.32,65.945,65.24
02/16/2021,65.57,9246566,65.81,65.86,65.34
02/12/2021,65.69,7131815,65.53,65.765,65.365
02/11/2021,65.59,7478535,65.95,65.97,65.49
02/10/2021,65.88,6957185,66.26,66.41,65.73
02/09/2021,65.95,12345520,66.02,66.185,65.77
02/08/2021,66.01,9412236,65.97,66.16,65.58
02/05/2021,65.76,8889285,65.55,65.9577,65.52
02/04/2021,65.15,7292368,64.74,65.165,64.6
02/03/2021,64.68,9542039,64.43,64.835,64.245
02/02/2021,64.58,13278380,64.4,65.1,64.21
02/01/2021,64.15,13283500,64.36,64.5,63.94
01/29/2021,64.09,19374810,65.19,65.21,64.06
01/28/2021,65.44,19925860,65.32,66.17,65.13
01/27/2021,65.19,17826870,65.94,66.83,65.03
01/26/2021,66.31,9304200,65.8,66.44,65.5
01/25/2021,65.72,17486200,64.87,65.945,64.84
01/22/2021,65.07,8329329,65.19,65.475,64.92
01/21/2021,65.24,8461251,65.355,65.41,65.13
01/20/2021,65.46,10700710,65.32,65.62,64.88
01/19/2021,65.34,8130797,65.85,65.98,65.285
01/15/2021,65.63,13260270,65.62,65.92,65.36
01/14/2021,65.86,11549050,66.27,66.3,65.78
01/13/2021,66.21,8337475,66.04,66.46,66.01
01/12/2021,66.11,11089460,66.33,66.48,65.83
01/11/2021,66.33,9648777,66.53,66.97,66.215
01/08/2021,66.9,17960850,66.62,66.96,66.25
01/07/2021,66.57,13963540,66.82,66.98,66.3
01/06/2021,66.77,14206670,66.59,67.1,66.48
01/05/2021,66.72,10871870,66.62,66.865,66.1
01/04/2021,66.72,12992630,67.42,67.4425,65.92
12/31/2020,67.45,6062326,67.05,67.55,66.715
12/30/2020,66.98,7359939,67.13,67.21,66.9
12/29/2020,67.05,4993578,67.42,67.605,66.88
12/28/2020,67.25,6315355,66.97,67.45,66.9
12/24/2020,66.72,1954906,66.44,66.7577,66.28
12/23/2020,66.39,4302588,66.37,66.645,66.235
12/22/2020,66.17,9107878,66.61,66.61,66.06
12/21/2020,66.64,8255571,66.62,66.7733,65.945
12/18/2020,67.93,6980529,67.88,68.08,67.405
12/17/2020,67.78,4673406,67.59,67.86,67.57
12/16/2020,67.35,10505830,67.27,67.67,67.11
12/15/2020,67.22,6121300,67.35,67.545,67.135
12/14/2020,67.06,6663423,67.65,67.905,67.04
12/11/2020,67.32,5000806,66.91,67.505,66.89
12/10/2020,67.17,5723441,67.45,67.62,67
12/09/2020,67.47,10420080,67.84,67.87,67.29
12/08/2020,67.74,7090952,67.13,67.88,66.985
12/07/2020,67.37,9466348,67.5,67.61,67.05
12/04/2020,67.63,11055790,67.17,67.64,67.09
12/03/2020,67.11,10951370,66.77,67.23,66.76
12/02/2020,66.94,11392180,67.27,67.59,66.72
12/01/2020,67.5,12126240,67.21,67.57,67.08
11/30/2020,66.91,11582090,66.75,66.98,66.23
11/27/2020,66.92,3228570,67.1,67.1,66.72
11/25/2020,66.93,5245413,66.94,67.2,66.84
11/24/2020,66.97,6064942,66.92,67.2,66.77
11/23/2020,66.52,5825336,66.62,66.7194,66.114
11/20/2020,66.5,4663421,66.82,67.11,66.44
11/19/2020,66.92,8830197,66.56,67.02,66.395
11/18/2020,66.74,7607802,67.77,68.0076,66.73
11/17/2020,67.67,8148092,67.64,68.065,67.47
11/16/2020,68.15,12956030,68.15,68.18,67.63
11/13/2020,67.53,6167265,66.86,67.617,66.66
11/12/2020,66.61,8945870,66.61,66.79,66.05
11/11/2020,66.79,10382140,66.6,67.075,66.15
11/10/2020,66.22,15134570,64.93,66.4,64.88
11/09/2020,64.94,15142820,66.64,67.28,64.85
11/06/2020,65.09,12703580,64.89,65.42,64.805
11/05/2020,64.79,13919540,65.07,65.3999,64.61
11/04/2020,64.32,25605870,64.65,65.405,64.24
11/03/2020,64.29,20578760,63.89,64.875,63.81
11/02/2020,63.25,10935090,63.15,63.54,62.76
10/30/2020,62.26,10093310,62.24,62.54,61.49
10/29/2020,62.48,8942690,62.34,63.1,61.715
10/28/2020,62.5,10980600,63.46,63.79,62.43
10/27/2020,64.38,5331369,64.59,64.94,64.345
10/26/2020,64.55,9352339,64.89,65.02,63.9817
10/23/2020,65.39,5094101,65.5,65.65,65.19
10/22/2020,65.27,7779661,65.31,65.49,64.96
10/21/2020,65.3,7013914,65.17,65.67,65.14
10/20/2020,65.24,7660211,65.95,66.08,65.11
10/19/2020,65.31,7733956,66.17,66.45,65.13
10/16/2020,66.17,6701213,66.35,66.71,66.15
10/15/2020,66.15,6649980,65.63,66.325,65.57
10/14/2020,66.11,6566256,66.44,66.7117,65.84
10/13/2020,66.45,7505697,66.3,66.65,66.14
10/12/2020,66.5,8685591,66.02,66.845,65.98
10/09/2020,65.74,7894676,65.49,66.03,65.41
10/08/2020,65.23,6659207,65.09,65.29,64.82
10/07/2020,64.8,8073123,64.48,65.07,64.35
10/06/2020,64.11,6552884,64.68,64.93,63.92
10/05/2020,64.53,4501173,64.25,64.615,64.15
10/02/2020,64.1,7463060,63.82,64.39,63.605
10/01/2020,64.46,9262892,64.47,64.61,63.91
09/30/2020,64.1,8284207,63.59,64.5,63.56
09/29/2020,63.33,8150441,63.78,63.9266,63.21
09/28/2020,63.75,6077639,63.56,64.11,63.53
09/25/2020,63.04,7432117,62.39,63.11,62.2473
09/24/2020,62.71,9141823,62.25,63.04,61.83
09/23/2020,62.25,7016242,63.4,63.56,62.1801
09/22/2020,63.2,7148633,62.87,63.51,62.805
09/21/2020,62.83,11326360,62.88,63.07,62.11
09/18/2020,63.69,9988926,64.38,64.47,63.25
09/17/2020,64.28,10108730,64.15,64.62,63.82
09/16/2020,64.69,7270728,65.26,65.43,64.63
09/15/2020,64.98,5672885,65.23,65.46,64.89
09/14/2020,65.07,6397036,64.97,65.37,64.78
09/11/2020,64.65,10212540,64.49,64.96,64.19
09/10/2020,64.29,11060570,65.09,65.27,64.15
09/09/2020,65.09,12848570,64.53,65.725,64.41
09/08/2020,64.16,16316980,65.38,65.51,63.89
09/04/2020,65.54,15604920,65.88,66.15,64.73
09/03/2020,65.69,26304590,67,67.61,65.205
09/02/2020,66.84,11174760,65.95,67.105,65.85
09/01/2020,65.65,9723064,65.57,65.675,65.13
08/31/2020,65.58,7661174,65.53,65.77,65.315
08/28/2020,65.77,6868207,65.5,65.81,64.88
08/27/2020,65.19,8711155,64.91,65.5,64.9
08/26/2020,64.79,5375359,64.58,64.88,64.28
08/25/2020,64.71,4517276,65,65.05,64.43
08/24/2020,64.85,6978548,64.41,64.85,64.21
08/21/2020,64.3,5713949,64.06,64.385,63.865
08/20/2020,64.14,10178890,63.9,64.22,63.7878
08/19/2020,64.27,5871749,64.69,64.78,64.155
08/18/2020,64.78,4927298,64.62,64.96,64.3307
08/17/2020,64.52,5172926,64.31,64.73,64.19
08/14/2020,64.16,3776370,64.1,64.37,63.92
08/13/2020,64.17,5857118,64.08,64.36,63.99
08/12/2020,64.22,8021616,63.66,64.499,63.66
08/11/2020,63.4,8633508,64.14,64.3001,63.22
08/10/2020,63.84,4345637,63.58,63.97,63.44
08/07/2020,63.51,9176106,63.07,63.57,63
08/06/2020,63.17,11983730,63.03,63.285,62.92
08/05/2020,63.18,7143577,63.41,63.535,63
08/04/2020,63.31,7417357,62.44,63.33,62.33
08/03/2020,62.53,8614449,62.73,62.76,62.22
07/31/2020,62.7,10277230,62.51,62.71,61.9203
07/30/2020,62.76,10901710,62.61,62.98,62.32
07/29/2020,62.76,7486444,62.65,62.9583,62.49
07/28/2020,62.67,6699305,62.42,62.9785,62.39
07/27/2020,62.44,6802002,62.07,62.45,61.94
07/24/2020,62.13,6809254,62.31,62.83,61.83
07/23/2020,62.21,9467970,62.2,62.46,62
07/22/2020,61.99,7022779,61.69,62.08,61.06
07/21/2020,61.5,7847604,61.4,62.1572,61.33
07/20/2020,60.97,6818583,61.46,61.49,60.78
07/17/2020,61.59,6321685,61.54,61.69,61.325
07/16/2020,61.26,7770231,61.1,61.38,60.975
07/15/2020,61.13,14952750,61.39,61.86,60.94
07/14/2020,61.08,14270060,60.03,61.23,59.91
07/13/2020,60.2,10906170,60.58,60.995,59.97
07/10/2020,60.29,14142790,59.27,60.41,59.26
07/09/2020,59.2,7672545,59.59,59.75,58.86
07/08/2020,59.67,9327862,59.95,59.99,59.415
07/07/2020,59.82,8160996,58.96,60.145,58.92
07/06/2020,59.28,10091330,59.44,59.58,58.95
07/02/2020,58.99,6857203,59.18,59.5708,58.87
07/01/2020,58.69,7261597,58.75,59.055,58.655
06/30/2020,58.64,7379844,58.22,58.855,58.13
06/29/2020,58.21,9654292,57.5,58.32,57.45
06/26/2020,57.13,14476540,58.3,58.46,57.08
06/25/2020,58.32,12128870,57.88,58.39,57.52
06/24/2020,57.91,14343240,58.6,58.6,57.7
06/23/2020,58.9,7950967,59.38,59.59,58.84
06/22/2020,58.99,9039672,59.1,59.22,58.78
06/19/2020,59.62,10777650,60.48,60.67,59.525
06/18/2020,59.93,6022734,59.35,59.99,59.2731
06/17/2020,59.62,8388420,59.82,60.07,59.44
06/16/2020,59.71,10840340,59.95,60.02,58.94
06/15/2020,58.79,11366700,57.58,58.87,57.19
06/12/2020,58.12,17837450,58.91,58.92,57.615
06/11/2020,58.11,14738740,59.75,60.12,58.04
06/10/2020,60.4,9877863,60.71,60.88,60.28
06/09/2020,60.57,13735360,60.84,60.93,60.2
06/08/2020,61.07,13094200,60.43,61.1,60.22
06/05/2020,60.42,11502500,60.03,60.73,59.86
06/04/2020,59.59,8973812,59.76,60.07,59.27
06/03/2020,59.88,10155280,60.06,60.16,59.86
06/02/2020,59.8,9837883,59.74,59.83,59.34
06/01/2020,59.64,9101497,59.26,59.86,59.2287
05/29/2020,59.23,12891050,58.99,59.42,58.46
05/28/2020,59.17,10184560,59.1,59.495,58.85
05/27/2020,58.65,10937850,58.24,58.7,57.91
05/26/2020,57.78,10487160,58.28,58.38,57.665
05/22/2020,57.47,7216407,57.29,57.52,57.16
05/21/2020,57.27,13913920,57.82,57.83,57.15
05/20/2020,57.91,8519553,57.71,57.94,57.36
05/19/2020,57.23,15313180,58.38,58.41,57.23
05/18/2020,58.3,15214100,58.3,58.6,57.88
05/15/2020,57.39,20847890,56.88,57.56,56.675
05/14/2020,56.89,11793810,56.75,57.035,55.985
05/13/2020,57.03,12186850,57.5,57.82,56.69
05/12/2020,57.55,20587310,58.23,58.55,57.55
05/11/2020,58.04,8807213,57.86,58.49,57.8013
05/08/2020,58.12,13405120,57.42,58.24,57.39
05/07/2020,56.85,11203700,57.45,57.53,56.73
05/06/2020,57.01,10700160,57.74,57.9,56.96
05/05/2020,57.64,9705173,57.82,58.255,57.565
05/04/2020,57.59,11314420,57.51,57.72,57.02
05/01/2020,57.62,13023680,57.94,58.43,57.38
04/30/2020,58.26,16397060,58.79,58.82,57.92
04/29/2020,58.96,16038640,59.51,59.51,58.4
04/28/2020,59.21,13609000,59.56,59.64,58.96
04/27/2020,58.88,11024010,59.07,59.15,58.65
04/24/2020,58.71,9638607,58.43,58.9,58.23
04/23/2020,58.09,21074220,58.47,58.845,57.99
04/22/2020,58.61,15086940,58.75,58.94,58.14
04/21/2020,58.05,13021940,58.47,58.805,57.84
04/20/2020,59.31,9264086,59.9,60.3199,59.26
04/17/2020,60.5,12083080,60.32,60.7,59.51
