Date,Close/Last,Volume,Open,High,Low
12/01/2021,129.5,22241710,130.35,132.09,129.48
11/30/2021,129.73,19467130,131.57,132.17,129.54
11/29/2021,132.33,17137200,132.69,133.22,132.19
11/26/2021,131.97,11896920,132.94,133.72,131.5099
11/24/2021,132.46,6760796,132.26,132.7,131.8
11/23/2021,132.51,12075240,131.75,132.645,131.35
11/22/2021,132.37,11146200,133.16,133.62,132.2
11/19/2021,132.97,10166200,134.18,134.63,132.855
11/18/2021,133.78,9029418,133.87,134.12,133.32
11/17/2021,133.73,8229054,133.69,134.25,133.11
11/16/2021,133.54,6150892,132.95,134.265,132.72
11/15/2021,132.98,6268910,134.12,134.19,132.85
11/12/2021,133.81,8317641,134,134.12,133.07
11/11/2021,133.15,8597304,133.52,133.61,132.83
11/10/2021,133.54,8445219,133.12,134.08,133.1
11/09/2021,133.16,7287021,133.69,133.81,132.9
11/08/2021,133.65,8948840,133.1,133.82,132.58
11/05/2021,132.86,14867390,133.15,133.7,131.895
11/04/2021,134.36,15818550,134.98,135.19,133.43
11/03/2021,135.29,14610090,134.24,135.34,133.74
11/02/2021,134.5,20851470,134.18,135.165,133.01
11/01/2021,133.66,14356750,133.94,134.49,133.15
10/29/2021,133.82,15415090,132.36,133.99,131.855
10/28/2021,132.53,9282753,131.67,133.04,131.665
10/27/2021,131.43,11851450,132.69,132.83,131.39
10/26/2021,132.48,9271663,132.13,132.86,131.41
10/25/2021,131.83,10629840,131.73,131.9746,130.71
10/22/2021,131.67,8009739,131.02,131.72,130.82
10/21/2021,131.14,8267518,130.88,131.215,129.93
10/20/2021,130.61,13665720,129.54,130.8025,129.42
10/19/2021,128.77,9486966,127.79,129.1,127.79
10/18/2021,127.1,11660800,127.41,127.54,126.55
10/15/2021,127.97,8976053,128,128.55,127.73
10/14/2021,127.34,8857911,126.84,127.84,126.84
10/13/2021,125.54,10610420,125.55,126.105,124.765
10/12/2021,125.34,13007520,126.35,126.48,125.025
10/11/2021,125.95,7843732,126.83,127.5,125.91
10/08/2021,126.94,9552253,127.76,128,126.68
10/07/2021,127.58,15806660,126.78,128.4,126.54
10/06/2021,125.91,21322290,125.44,126.02,124.5
10/05/2021,126.14,19152030,125.9,127.42,125.73
10/04/2021,125.39,27580670,126.81,127.46,124.76
10/01/2021,127.33,23188940,127.47,127.93,125.28
09/30/2021,127.3,21653750,129.31,130.12,127.19
09/29/2021,128.88,11171390,128.44,129.48,128.18
09/28/2021,127.87,17433740,129.27,129.271,127.43
09/27/2021,130.1,11631380,131.6,131.76,129.82
09/24/2021,131.98,6962579,132.3,132.79,131.7
09/23/2021,132.52,10366550,131.87,133.29,131.77
09/22/2021,131.57,11964140,131.74,132.2321,130.94
09/21/2021,131.35,11741910,131.75,132.7,131.33
09/20/2021,131.15,17245020,131.03,132.32,130.01
09/17/2021,133,13541430,132.76,133.11,132.13
09/16/2021,132.87,10525710,133.38,133.63,131.96
09/15/2021,133.21,10299870,132.18,133.83,131.98
09/14/2021,132.35,10436270,132.99,133.3,132.12
09/13/2021,132.37,11676710,133.89,133.97,131.7
09/10/2021,133.19,10561620,134.9,135.02,133.12
09/09/2021,134.42,8905636,135.8,136.11,134.34
09/08/2021,135.99,6986150,135.78,136.21,135.42
09/07/2021,136.05,8739238,136.34,136.56,135.16
09/03/2021,136.85,5632771,136.56,137.045,135.91
09/02/2021,136.7,6848211,135.75,136.72,135.6
09/01/2021,135.25,10571190,135.32,135.44,133.965
08/31/2021,135.21,9299100,135.42,136.05,134.73
08/30/2021,135.39,6417153,134.51,135.88,134.5
08/27/2021,134.63,8679232,135.08,135.45,134.41
08/26/2021,134.78,5972119,135.39,135.69,134.52
08/25/2021,135.31,6918537,135.55,135.6217,134.75
08/24/2021,135.68,6548195,136.16,136.18,135.29
08/23/2021,136.16,8471263,136.88,136.98,136.12
08/20/2021,136.11,7252909,135.47,136.52,135
08/19/2021,135.34,11669500,133.84,136.04,133.8
08/18/2021,134.73,12427700,136.63,136.78,134.65
08/17/2021,136.81,13874830,134.85,136.81,134.775
08/16/2021,135.21,8404315,133.69,135.23,133.23
08/13/2021,133.69,7923108,133.19,133.72,133.03
08/12/2021,132.86,8220335,131.95,132.97,131.86
08/11/2021,131.82,14512540,133.35,133.56,131.71
08/10/2021,133.14,5832607,133.52,133.79,132.625
08/09/2021,133.45,9852525,133.13,133.7,133.03
08/06/2021,132.94,6923733,132.99,133.11,132.09
08/05/2021,133.05,8240873,133.5,133.52,132.045
08/04/2021,133.6,8322214,133.65,134.47,133.43
08/03/2021,134.17,7701800,132.39,134.21,132.3
08/02/2021,132.33,8366436,132.67,132.85,131.94
07/30/2021,132.15,6634362,131.81,132.635,131.63
07/29/2021,132.03,5662818,132.14,132.23,131.64
07/28/2021,131.71,7432563,131.05,132.09,130.715
07/27/2021,131.24,9551785,130.45,131.24,130.105
07/26/2021,130.63,6626516,131.11,131.49,130.1999
07/23/2021,131.48,8303834,130.53,131.61,130.37
07/22/2021,129.98,9261132,129.14,129.98,128.79
07/21/2021,129.03,8295729,129.34,129.38,127.64
07/20/2021,128.82,15053910,127.68,129.55,127.68
07/19/2021,127.27,19460590,127.78,128.39,126.23
07/16/2021,128.62,6511034,128.6,129.085,128.18
07/15/2021,128.27,8750949,128.03,128.59,127.48
07/14/2021,128.72,7487030,129.13,129.24,128.49
07/13/2021,128.84,9698814,128.8,129.2552,128.525
07/12/2021,128.96,9097975,128.71,129.6,128.61
07/09/2021,128.71,5224302,128.73,129.105,128.4199
07/08/2021,128.27,8386584,127.78,128.37,127.11
07/07/2021,128.98,18435650,128.18,128.98,127.71
07/06/2021,128.17,11413300,127.91,128.18,127.2601
07/02/2021,128.29,12328130,127.23,128.41,127.005
07/01/2021,127.07,12020980,126.04,127.16,125.99
06/30/2021,125.95,8542687,125.9,126.21,125.47
06/29/2021,126.03,6165555,125.9,126.42,125.74
06/28/2021,125.89,4631451,125.83,126.05,125.41
06/25/2021,125.7,8344223,125.08,126.08,125.01
06/24/2021,125.13,7029228,125.22,126.005,124.99
06/23/2021,124.49,6506579,124.84,125.13,124.44
06/22/2021,125.01,7194053,124.82,125.18,124.4
06/21/2021,124.74,6655407,123.65,124.965,123.2
06/18/2021,123.74,11152650,124.24,124.41,123.57
06/17/2021,125.17,6527291,124,125.5,123.98
06/16/2021,124.22,11653340,124.83,125.46,123.87
06/15/2021,124.7,5409192,124.79,124.98,124.17
06/14/2021,124.66,5155991,124.48,124.68,123.78
06/11/2021,124.55,6958093,125.25,125.31,123.92
06/10/2021,125.44,9350874,123.63,125.58,123.58
06/09/2021,123.33,7965618,122.46,123.535,122.46
06/08/2021,122.15,10799560,122.83,122.9,121.21
06/07/2021,122.53,13978500,122.39,123.61,122.18
06/04/2021,122.09,11229020,122.34,122.6999,121.95
06/03/2021,121.7,13244610,120.88,122.02,120.61
06/02/2021,121.33,13245070,121.68,121.99,121.04
06/01/2021,121.57,13368330,123.75,123.79,121.465
05/28/2021,123.6,10059940,123.59,124.615,123.52
05/27/2021,123.12,8103209,123.65,123.75,123.05
05/26/2021,123.39,6848847,124.08,124.12,122.86
05/25/2021,124.11,6798493,124.66,124.67,123.97
05/24/2021,124.48,4958873,125,125.2499,124.43
05/21/2021,124.36,8423300,124.75,125.66,124.26
05/20/2021,124.34,7522727,123.01,124.87,123.01
05/19/2021,123.05,10063160,122.46,123.13,121.59
05/18/2021,123.26,9201952,123.18,123.9689,122.77
05/17/2021,123.22,5997564,123.31,123.875,123.14
05/14/2021,123.45,6590493,123.54,123.855,123.14
05/13/2021,122.83,11228010,121.95,123.385,121.76
05/12/2021,121.73,10946460,122.23,122.84,121.61
05/11/2021,122.89,11357840,123.58,124.1,122.606
05/10/2021,124.23,8846741,124.52,125.19,124.18
05/07/2021,124.07,7576917,123.51,124.72,123.46
05/06/2021,123.22,16114980,122.36,123.23,121.73
05/05/2021,123.06,13851470,123.01,123.44,122.41
05/04/2021,122.84,16186500,122.53,122.93,122
05/03/2021,122.71,13179070,121.99,122.8387,121.82
04/30/2021,121.33,7153422,121.21,121.92,121.11
04/29/2021,121.69,8148869,122.31,122.34,121.03
04/28/2021,122.18,6788235,122.35,122.49,121.96
04/27/2021,122.55,7034730,122.95,122.965,122.35
04/26/2021,123.26,6907131,123.61,123.62,123.03
04/23/2021,123.68,4975346,122.81,123.96,122.55
04/22/2021,122.87,10030940,123.32,123.6,122.4
04/21/2021,123.42,9635877,122.36,123.4884,122.3
04/20/2021,121.98,8063897,120.95,122.29,120.95
04/19/2021,121.51,7094305,121.25,121.54,120.8892
04/16/2021,121.48,7447536,121.2,121.615,120.78
04/15/2021,120.58,8438303,119.02,120.9284,119.02
04/14/2021,118.55,6226675,118.42,119.03,118.335
04/13/2021,118.56,6519617,117.7,118.89,117.59
04/12/2021,118.07,8279707,117.78,118.31,117.65
04/09/2021,117.95,5919162,116.74,118.02,116.67
04/08/2021,116.67,4292455,116.83,117.1819,116.51
04/07/2021,116.49,5753273,116.68,117.08,116.187
04/06/2021,116.75,5206716,117.35,117.69,116.58
04/05/2021,117.2,7190918,116.98,117.5627,116.79
04/01/2021,116.39,6676369,116.93,117.04,116.02
03/31/2021,116.74,8504094,116.76,117.4481,116.56
03/30/2021,116.51,6865742,117.25,117.25,116.24
03/29/2021,117.57,8959005,116.55,117.97,116.51
03/26/2021,117.02,8286505,115.14,117.17,114.83
03/25/2021,114.85,11505270,114.54,115.07,113.35
03/24/2021,114.37,12647010,114.56,115.25,114.335
03/23/2021,114.5,9170522,115.53,115.715,114.21
03/22/2021,115.67,6156842,114.6,115.75,114.03
03/19/2021,115.07,12595940,114.78,115.75,114.2
03/18/2021,114.66,8553350,114.37,115.6,114.32
03/17/2021,114.9,7524923,114.82,115.47,114.205
03/16/2021,115.32,8618552,115.51,115.715,114.9
03/15/2021,115.39,7119410,114.39,115.42,114.26
03/12/2021,114.6,7452438,114.11,114.76,113.93
03/11/2021,114.35,6549499,114.05,114.98,113.89
03/10/2021,113.66,11641100,114.15,114.8,113.62
03/09/2021,113.4,11022340,113.57,115.2,113.35
03/08/2021,112.74,12691820,113.11,114.525,112.6
03/05/2021,113.02,15645240,111.45,113.38,110.55
03/04/2021,110.8,23441750,112.06,112.8,109.93
03/03/2021,112.31,14946770,113.33,113.45,112.045
03/02/2021,113.75,8456128,114.32,114.59,113.64
03/01/2021,114.08,7361855,113.53,114.61,113.5
02/26/2021,112.61,14687160,113.99,113.99,112.32
02/25/2021,113.59,14494850,114.58,115.04,113.01
02/24/2021,114.74,9842009,114.08,115.36,113.72
02/23/2021,113.95,8731544,114.06,114.76,113.42
02/22/2021,114.14,7213401,113.86,114.49,113.115
02/19/2021,114.41,9390773,115.9,115.99,114.31
02/18/2021,115.81,7756644,115.97,116.279,115.33
02/17/2021,116.54,5025583,115.74,116.599,115.605
02/16/2021,116.12,9531893,117.43,117.54,115.74
02/12/2021,117.28,6345295,116.18,117.41,116.03
02/11/2021,116.41,4683971,116.6,116.7,115.86
02/10/2021,116.19,5406420,116.82,116.85,115.78
02/09/2021,115.98,4730313,115.8,116.085,115.69
02/08/2021,115.81,6956728,116.08,116.24,115.465
02/05/2021,115.67,5557076,116.25,116.43,115.39
02/04/2021,115.46,8451583,114.98,115.93,114.73
02/03/2021,114.98,11280270,115.8,115.86,114.615
02/02/2021,115.8,11515730,116.38,116.95,115.77
